#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;,,,,,,,,,,
### RELIGIOUS EVENTS ###
# FIRST RAVEN EVENTS #
EVTTITLE_ROBMODNORSE_00041;The Godslaws;Les lois des Dieux;Die Gesetze der Götter;;Las leyes de los dioses;;;;;;;;;x,,,,,,,,,,
EVTOPTC_ROBMODNORSE_20102;Yes [Root.job_spiritual.GetFirstName], you will have your gold.;Oui [Root.job_spiritual.GetFirstName], vous aurez votre or.;Ja [Root.job_spiritual.GetFirstName], du wirst dein Gold haben.;;Sí [Root.job_spiritual.GetFirstName], tendrás tu oro.;;;;;;;;;x
EVTOPTD_ROBMODNORSE_20102;I will do nothing of the sort!;Je ne ferai rien de tel!;Ich werde nichts dergleichen machen!;;¡No haré nada de eso!;;;;;;;;;x
EVTDESC_ROBMODNORSE_20103_GOATS;You are feasting in your halls when all of the torches are extinguished at once. In the hush that follows, a voice speaks in your head – you recognise it as the voice of Oðinn from your dream! It laughs deeply and says: “If you think you can exchange a few goats for wisdom, you are sorely mistaken. What I desire is something far more personal.” He instructs you to meet him at an ancient well a few miles south of your halls in one moon’s time, where his demands will be made clear. When the torches rekindle, it transpire that everyone heard the same voice!;Vous faites la fête dans vos salles lorsque toutes les torches sont éteintes à la fois. Dans le silence qui suit, une voix parle dans votre tête - vous le reconnaissez comme la voix d'Oðinn de votre rêve! Il rire profondément et dit: "Si vous pensez pouvoir échanger quelques chèvres pour la sagesse, vous vous trompez sérieusement. Ce que je désire, c'est quelque chose de beaucoup plus personnel. "Il vous enseigne à le rencontrer dans un ancien puits à quelques miles au sud de vos salles en pleine lune, où ses demandes seront précisées. Quand les torches retournent, il s'avère que tout le monde a entendu la même voix!;Du feierst in deinen Hallen, wenn alle Fackeln sofort ausgelöscht sind. In der Stille, die folgt, spricht eine Stimme in deinem Kopf - du erkennst es als die Stimme von Oðinn aus deinem Traum! Es lacht zutiefst und sagt: "Wenn du denkst, du kannst ein paar Ziegen für Weisheit austauschen, du bist sehr falsch. Was ich wünsche, ist etwas ganz Persönliches. "Er beauftragt Sie, ihn in einem alten Brunnen ein paar Meilen südlich von Ihren Hallen in einer Zeit des Monats zu treffen, wo seine Forderungen klar werden. Wenn die Fackeln neu entfachen, ist es klar, dass jeder die gleiche Stimme hörte!;;Usted está festejando en sus pasillos cuando todas las antorchas se extinguen a la vez. En el silencio que sigue, una voz habla en tu cabeza - ¡la reconoces como la voz de Oðinn de tu sueño! Se ríe profundamente y dice: "Si crees que puedes intercambiar algunas cabras por sabiduría, estás muy equivocado. Lo que deseo es algo mucho más personal. "Él le ordena que lo encuentre en un antiguo pozo a pocos kilómetros al sur de sus salas en el tiempo de una luna, donde sus demandas se aclararán. Cuando las antorchas reavivan, transpira que todos escucharon la misma voz...;;;;;;;;;x
EVTDESC_ROBMODNORSE_20103_THRALLS;You are feasting in your halls when all of the torches are extinguished at once. In the hush that follows, a voice speaks in your head – you recognise it as the voice of Oðinn from your dream! It laughs deeply and says: “If you think you can exchange a few lowly girls for wisdom, you are sorely mistaken. What I desire is something far more personal.” He instructs you to meet him at an ancient well a few miles south of your halls in one moon’s time, where his demands will be made clear. When the torches rekindle, it transpire that everyone heard the same voice!;Vous faites la fête dans vos salles lorsque toutes les torches sont éteintes à la fois. Dans le silence qui suit, une voix parle dans votre tête - vous le reconnaissez comme la voix d'Oðinn de votre rêve! Il rire profondément et dit: "Si vous pensez pouvoir échanger quelques filles humbles pour la sagesse, vous vous trompez très fort. Ce que je désire, c'est quelque chose de beaucoup plus personnel. "Il vous enseigne à le rencontrer dans un ancien puits à quelques miles au sud de vos salles en pleine lune, où ses demandes seront précisées. Quand les torches retournent, il s'avère que tout le monde a entendu la même voix!;Du feierst in deinen Hallen, wenn alle Fackeln sofort ausgelöscht sind. In der Stille, die folgt, spricht eine Stimme in deinem Kopf - du erkennst es als die Stimme von Oðinn aus deinem Traum! Es lacht zutiefst und sagt: "Wenn du denkst, du kannst ein paar Niedrigmädchen für Weisheit austauschen, du irrst dich sehr. Was ich wünsche, ist etwas ganz Persönliches. "Er beauftragt Sie, ihn in einem alten Brunnen ein paar Meilen südlich von Ihren Hallen in einer Zeit des Monats zu treffen, wo seine Forderungen klar werden. Wenn die Fackeln neu entfachen, ist es klar, dass jeder die gleiche Stimme hörte!;;Usted está festejando en sus pasillos cuando todas las antorchas se extinguen a la vez. En el silencio que sigue, una voz habla en tu cabeza - ¡la reconoces como la voz de Oðinn de tu sueño! Se ríe profundamente y dice: "Si usted piensa que puede intercambiar unas cuantas chicas humildes por sabiduría, está muy equivocado. Lo que deseo es algo mucho más personal. "Él le ordena que lo encuentre en un antiguo pozo a pocos kilómetros al sur de sus salas en el tiempo de una luna, donde sus demandas se aclararán. Cuando las antorchas reavivan, transpira que todos escucharon la misma voz...;;;;;;;;;x
EVTDESC_ROBMODNORSE_20103_GOLD;You are feasting in your halls when all of the torches are extinguished at once. In the hush that follows, a voice speaks in your head – you recognise it as the voice of Oðinn from your dream! It laughs deeply and says: “If you think you can exchange a few gold coins for wisdom, you are sorely mistaken. What I desire is something far more personal.” He instructs you to meet him at an ancient well a few miles south of your halls in one moon’s time, where his demands will be made clear. When the torches rekindle, it transpire that everyone heard the same voice!;Vous faites la fête dans vos salles lorsque toutes les torches sont éteintes à la fois. Dans le silence qui suit, une voix parle dans votre tête - vous le reconnaissez comme la voix d'Oðinn de votre rêve! Il rire profondément et dit: "Si vous pensez pouvoir échanger quelques pièces d'or pour la sagesse, vous vous trompez très fort. Ce que je désire, c'est quelque chose de beaucoup plus personnel. "Il vous enseigne à le rencontrer dans un ancien puits à quelques miles au sud de vos salles en pleine lune, où ses demandes seront précisées. Quand les torches retournent, il s'avère que tout le monde a entendu la même voix!;Du feierst in deinen Hallen, wenn alle Fackeln sofort ausgelöscht sind. In der Stille, die folgt, spricht eine Stimme in deinem Kopf - du erkennst es als die Stimme von Oðinn aus deinem Traum! Es lacht zutiefst und sagt: "Wenn du denkst, dass du ein paar Goldmünzen für Weisheit austauschen kannst, bist du sehr falsch. Was ich wünsche, ist etwas ganz Persönliches. "Er beauftragt Sie, ihn in einem alten Brunnen ein paar Meilen südlich von Ihren Hallen in einer Zeit des Monats zu treffen, wo seine Forderungen klar werden. Wenn die Fackeln neu entfachen, ist es klar, dass jeder die gleiche Stimme hörte!;;Usted está festejando en sus pasillos cuando todas las antorchas se extinguen a la vez. En el silencio que sigue, una voz habla en tu cabeza - ¡la reconoces como la voz de Oðinn de tu sueño! Se ríe profundamente y dice: "Si usted piensa que puede intercambiar unas cuantas monedas de oro por sabiduría, está muy equivocado. Lo que deseo es algo mucho más personal. "Él le ordena que lo encuentre en un antiguo pozo a pocos kilómetros al sur de sus salas en el tiempo de una luna, donde sus demandas se aclararán. Cuando las antorchas reavivan, transpira que todos escucharon la misma voz...;;;;;;;;;x
EVTDESC_ROBMODNORSE_20103_NOTHING;You are feasting in your halls when all of the torches are extinguished at once. In the hush that follows, a voice speaks in your head – you recognise it as the voice of Oðinn from your dream! “You were wise to disregard the advice of these fools,” it says, “what you must offer is far more personal.” He instructs you to meet him at an ancient well a few miles south of your halls in one moon’s time, where his demands will be made clear. When the torches rekindle, it transpire that everyone heard the same voice!;Vous faites la fête dans vos salles lorsque toutes les torches sont éteintes à la fois. Dans le silence qui suit, une voix parle dans votre tête - vous le reconnaissez comme la voix d'Oðinn de votre rêve! «Tu étais sage de ne pas tenir compte des conseils de ces imbéciles», dit-il, «ce que tu dois offrir est beaucoup plus personnel». Il t'invite à le rencontrer dans un ancien puits, à quelques milles au sud de tes halls, dans l'heure d'une lune, où Ses demandes seront précisées. Quand les torches retournent, il s'avère que tout le monde a entendu la même voix!;Du feierst in deinen Hallen, wenn alle Fackeln sofort ausgelöscht sind. In der Stille, die folgt, spricht eine Stimme in deinem Kopf - du erkennst es als die Stimme von Oðinn aus deinem Traum! "Sie waren klug, den Rat dieser Narren zu ignorieren", heißt es, "was Sie anbieten müssen, ist viel persönlicher." Er weist Sie an, ihn in einem alten Brunnen zu treffen, ein paar Meilen südlich von Ihren Hallen in einer Zeit des Mondes, wo Seine Forderungen werden deutlich gemacht. Wenn die Fackeln neu entfachen, ist es klar, dass jeder die gleiche Stimme hörte!;;Usted está festejando en sus pasillos cuando todas las antorchas se extinguen a la vez. En el silencio que sigue, una voz habla en tu cabeza - ¡la reconoces como la voz de Oðinn de tu sueño! "Ustedes sabían ignorar el consejo de estos tontos", dice, "lo que deben ofrecer es mucho más personal." Él le ordena que lo encuentre en un antiguo pozo a pocos kilómetros al sur de sus salas en el tiempo de una luna, donde Sus demandas quedarán claras. ¡Cuando las antorchas reavivan, transpira que todos escucharon la misma voz!;;;;;;;;;x
EVTOPTA_ROBMODNORSE_20103;It truly is the Alfaðir!;C'est vraiment l'Alfaðir!;Es ist wirklich der Alfaðir!;;¡Realmente es el Alfaðir!;;;;;;;;;x
EVTTOOLTIPA_ROBMODNORSE_20103;Make preparations for the meeting;Faire des préparatifs pour la réunion;Vorbereitungen für das Treffen machen;;Hacer los preparativos para la reunión;;;;;;;;;x
EVTDESC_ROBMODNORSE_20104;You arrive at the old well that the Allfather described to you, alone as commanded. It has not been used for many years, and a deep power resides here. After some time the sun seems to dim and the deep voice speaks again, only this time it is certainly not in your head. “If you yearn for wisdom, Great [Root.PrimaryTitle.GetRulerTitle], you must do as I did at the Well of Urd countless years ago.” You gulp: every Beyð child knows how Oðinn carved out his own eye for Mímir the Rememberer.;Vous arrivez au vieux puits que l'Allfather vous a décrit, seul comme il l'a commandé. Il n'a pas été utilisé pendant de nombreuses années, et le lierre se développe sur les pierres anciennes. Une force profonde réside ici, et un froid descend dans votre colonne vertébrale. Vous attendez ce qui ressemble à un âge et a finalement décidé d'abandonner votre vigie lorsque le soleil semble s'effondrer et la voix profonde parle à nouveau, mais cette fois, ce n'est certainement pas votre tête. "Si vous désirez de la sagesse, Great [Root.PrimaryTitle.GetRulerTitle], vous devez faire comme je l'ai fait au Well of Urd il y a d'innombrables années." Vous goulp: chaque enfant de Beyð connaît l'histoire de la façon dont Oðinn s'est attardé Mymir the Rememberer parmi les racines du monde-arbre Yggdrasil.;Sie kommen zu dem alten Brunnen, das der Allfather dir beschrieben hat, allein, wie er befohlen hat. Es ist seit vielen Jahren nicht benutzt worden, und Efeu wächst auf den alten Steinen. Eine tiefe Kraft wohnt hier, und eine Kälte läuft über die Wirbelsäule. Sie warten auf das, was sich wie ein Alter anfühlt, und haben endlich beschlossen, Ihre Mahnwache aufzugeben, wenn die Sonne zu dunkeln scheint und die tiefe Stimme wieder spricht, nur diesmal ist es sicher nicht in deinem Kopf. "Wenn du nach Weisheit sehnst, so mußt du es tun, wie ich es schon vor vielen Jahren im Brunnen von Urd getan habe." Sie schlucken: Jedes Beyð-Kind kennt die Geschichte, wie Oðinn sein eigenes Auge geschnitzt hat Mímir der Rememberer unter den Wurzeln des Weltbaums Yggdrasil.;;Llegas al viejo pozo que te describió el Allfather, solo como él ordenó. No se ha utilizado durante muchos años, y la hiedra crece sobre las piedras antiguas. Un poder profundo reside aquí, y un escalofrío recorre su espina dorsal. Espera lo que se siente como una edad, y finalmente ha decidido abandonar su vigilia cuando el sol parece oscurecer y la voz profunda vuelve a hablar, sólo que esta vez no está en su cabeza. "Si anhelan sabiduría, Gran [Root.PrimaryTitle.GetRulerTitle], deben hacer lo que hice en el pozo de Urd hace incontables años." Usted trago: cada niño de Beyð sabe la historia de cómo Oðinn talló su propio ojo para Mímir el Recordador entre las raíces del mundo-árbol Yggdrasil.;;;;;;;;;x
EVTOPTA_ROBMODNORSE_20104;I will give you my eye, Alfaðir.;Je vais vous donner l'oeil, Alfaðir.;Ich werde dir mein Auge geben, Alfaðir.;;Te daré mi ojo, Alfaðir.;;;;;;;;;x
EVTTOOLTIPA_ROBMODNORSE_20104;Draw your dagger...;Dessine ton poignard ...;Zeichne deinen Dolch ...;;Dibuja tu puñal ...;;;;;;;;;x
EVTOPTB_ROBMODNORSE_20104;I... I can’t do it!;Je ... Je ne peux pas le faire!;Ich ... ich kann es nicht!;;Yo ... ¡No puedo hacerlo!;;;;;;;;;x
EVTTOOLTIPB_ROBMODNORSE_20104;Refuse the sacrifice;Refuse le sacrifice;Verweigere das Opfer;;Rechace el sacrificio;;;;;;;;;x
EVTOPTC_ROBMODNORSE_20104;Am I even certain that this is Oðinn?;Je suis même certain que c'est Oðinn?;Bin ich sicher, dass das Oðinn ist?;;¿Estoy seguro de que esto es Oðinn?;;;;;;;;;x
EVTDESC_ROBMODNORSE_20105;You draw your dagger and set about the task of removing your eye. It is not an easy business, but once the task is done you drop it into the well and collapse. After a minute or so, your slip from consciousness and see the Alfaðir again, only this time he is dressed not in rags but the finest Kingly garbs, and has your eye in place of his missing one, a strange skull upon his lap. When you open your eyes (well, just the one actually), you are back in your chambers surrounded by your family, with the skull Oðinn was holding gripped in your hands.;Vous dessinez votre poignard et prévoyez la tâche de retirer votre attention. Ce n'est pas une affaire facile, mais une fois que la tâche est terminée, vous laissez le bâton dans le puits et l'effondrement. Au bout d'une minute, votre glisse de la conscience et de voir l'Alfaðir à nouveau, cette fois, il n'est pas vêlé de chiffons, mais les plus beaux vêtements royaux, et vous tient le coup d'œil à la main. "Vous avez ma bénédiction, [Root.GetFirstName], mais la quête de la sagesse ne se termine jamais. Je vous rendrai visite. Lorsque vous ouvrez vos yeux (bien, juste celui en fait), vous êtes de retour dans vos chambres, entouré par votre famille.;Du ziehst deinen Dolch und machst die Aufgabe, dein Auge zu entfernen. Es ist kein einfaches Geschäft, aber sobald die Aufgabe fertig ist, fallen sie in den Brunnen und kollabieren. Nach einer Minute oder so, dein Slip aus dem Bewusstsein und den Alfaðir wieder sehen, nur dieses Mal ist er nicht in Lumpen gekleidet, sondern die schönsten Kingly Kleidung und hält dein Auge in der Hand. "Du hast meinen Segen, [Root.GetFirstName], aber die Suche nach Weisheit endet nie. Ich werde dich wieder besuchen. Wenn du deine Augen öffnest (gut, nur die eine eigentlich), bist du wieder in deinen Kammern, umgeben von deiner Familie.;;Usted dibuja su daga y se pone sobre la tarea de quitar su ojo. No es un negocio fácil, pero una vez que la tarea se hace usted lo cae en el pozo y el colapso. Después de un minuto o más, tu deslizamiento de la conciencia y ver el Alfaðir de nuevo, sólo que esta vez no está vestido con trapos, sino la más fina ropa Kingly, y tiene el ojo en la mano. "Tienes mi bendición, [Root.GetFirstName], pero la búsqueda de la sabiduría nunca termina. Te visitaré otra vez. Cuando abres los ojos (bueno, sólo uno en realidad), estás de vuelta en tus cámaras, rodeados por tu familia.;;;;;;;;;x
EVTOPTA_ROBMODNORSE_20105;Is this real?;Est-ce que cela s'est réellement passé?;Ist das eigentlich passiert?;;¿Realmente sucedió eso?;;;;;;;;;x
EVTDESC_ROBMODNORSE_20106;“So you refuse this challenge, [Root.GetTitledFirstName]? Then I shall not visit you again, and may wisdom ever elude you.” With that, sunlight bathes the well again and the feeling of power has departed.;"Alors, vous refusez ce défi, [Root.GetTitledFirstName]? Alors je ne vous reverrai pas, et que la sagesse vous échappe. "Avec cela, la lumière du soleil baigne le puits à nouveau et le sentiment de puissance est parti.;"So verweigern Sie diese Herausforderung, [Root.GetTitledFirstName]? Dann werde ich dich nicht wieder besuchen, und die Weisheit kann euch je entgehen. "Damit bricht das Sonnenlicht wieder gut und das Kraftgefühl ist gegangen.;;"Así que rechazas este reto, [Root.GetTitledFirstName]? Entonces no volveré a visitarte, y la sabiduría siempre te eludirá. "Con eso, la luz del sol baña de nuevo el pozo y el sentimiento de poder se ha ido.;;;;;;;;;x
EVTOPTA_ROBMODNORSE_20106;At least I still have both my eyes...;Au moins j'ai toujours les deux mes yeux ...;Zumindest habe ich noch meine Augen ...;;Por lo menos todavía tengo mis ojos ...;;;;;;;;;x
## ODRERIR ##
EVTTITLE_ROBMODNORSE_20201;The Wandering Skáld;Le Skáld errant;Der wandernde Skáld;;El Skáld errante;;;;;;;;;x
EVTDESC_ROBMODNORSE_20201;The locals of [robmodnorse_poet_prov.GetName] tell of a poet travelling the length and breadth of the province, stopping in each village to tell the great histories of the land. His vivid tales of heroic warriors and fair maidens are recited throughout the [Root.PrimaryTitle.GetFullBaseName], and although the versions vary, it is clear the poet possesses a lyrical skill unsurpassed since the Gods themselves recorded the sagas. He can hold an audience rapt for hours, and those who have seen the Wandering Skáld say his words have the power to transport the listener to other worlds.;Les habitants de [robmodnorse_poet_prov.GetBaseName] racontent un poète qui parcourt la longueur et la largeur de la province, s'arrêtant dans chaque village pour raconter les grandes histoires de la terre. Ses récits vivants de guerriers héroïques et de bonnes filles sont récités dans [Root.PrimaryTitle.GetFullBaseName], et bien que les versions varient, il est clair que le poète possède une compétence lyrique inégalée puisque les dieux eux-mêmes ont enregistré les sagas. Il peut tenir un auditoire excité pendant des heures, et ceux qui ont vu le Wandering Skáld dire que ses mots ont le pouvoir de transporter l'auditeur à d'autres mondes.;Die Einheimischen von [robmodnorse_poet_prov.GetBaseName] erzählen von einem Dichter, der die Länge und Breite der Provinz reist und in jedem Dorf aufhört, um die großen Geschichten des Landes zu erzählen. Seine lebendigen Geschichten von heroischen Kriegern und fairen Mädchen werden in ganz [Root.PrimaryTitle.GetFullBaseName] rezitiert, und obwohl die Versionen variieren, ist klar, dass der Dichter eine lyrische Fähigkeit besitzt, die unübertroffen ist, da die Götter selbst die Sagen aufgezeichnet haben. Er kann stundenlang ein Publikum aufhalten, und diejenigen, die den Wandering Skáld gesehen haben, sagen, dass seine Worte die Macht haben, den Zuhörer in andere Welten zu transportieren.;;Los habitantes de [robmodnorse_poet_prov.GetBaseName] hablan de un poeta que recorrió toda la provincia, deteniéndose en cada pueblo para contar las grandes historias de la tierra. Sus cuentos vívidos de guerreros heroicos y de doncellas se recitan a lo largo de [Root.PrimaryTitle.GetFullBaseName], y aunque las versiones varían, está claro que el poeta posee una habilidad lírica insuperable ya que los mismos dioses registraron las sagas. Puede sostener a una audiencia apasionada durante horas, y aquellos que han visto a los Skander errantes decir sus palabras tienen el poder de transportar al oyente a otros mundos.;;;;;;;;;x
EVTOPTA_ROBMODNORSE_20201;Let him wander!;Laissez-le errer!;Lass ihn wandern!;;¡Déjelo vagar!;;;;;;;;;x
EVTOPTB_ROBMODNORSE_20201;He could tell my story.;Invitez-le à raconter mon histoire.;Bitten Sie ihn, meine Geschichte zu erzählen.;;Invítalo a contar mi historia.;;;;;;;;;x
EVTTOOLTIPB_ROBMODNORSE_20201;Invite the poet to your court to write a ballad of your life. This could have benefits, should it be recited throughout the realm;Invitez le poète à votre cour pour écrire une ballade dans votre vie. Cela pourrait avoir des avantages, devrait-il être récité dans tout le domaine;Laden Sie den Dichter zu Ihrem Gericht, um eine Ballade Ihr Leben zu schreiben. Das könnte Vorteile haben, sollte es im ganzen Reich rezitiert werden;;Invite al poeta a su corte a escribir una balada de su vida. Esto podría tener beneficios, si fuera recitado en todo el reino;;;;;;;;;x
EVTDESC_ROBMODNORSE_20202;[From.GetFirstNameWithNick] has arrived at your court and recites a tale of a burglar who stole an enchanted gemstone from a dragon’s horde. The poet’s words hold you enthralled: listening with your eyes closed you can indeed see the scenes he paints clearly in your mind’s eye. Once the poem is finished and you return to the physical world, he asks you the tale you would like him to tell of you.;Le Skáld errant [From.GetFirstName] est arrivé à votre cour, et récite un conte d'un cambrioleur qui a volé une pierre précieuse enchantée de la horde d'un dragon. Les paroles du poète vous convainquent: l'écoute avec les yeux fermés vous permet de voir les scènes qu'il peint clairement dans votre esprit. Une fois que le poème est terminé et que vous revenez au monde physique, il vous demande le conte que vous aimeriez qu'il vous dise.;Der wandernde Skáld [From.GetFirstName] ist bei deinem Hof angekommen und rezitiert eine Geschichte von einem Einbrecher, der einen verzauberten Edelstein aus der Horde eines Drachen stahl. Die Worte des Dichters halten Sie begeistert: Wenn Sie mit den Augen schlafen, können Sie die Szenen sehen, die er eindeutig im Auge malt. Sobald das Gedicht fertig ist und du in die physische Welt zurückkehrst, fragt er dich die Erzählung, die du mir von dir erzählen möchtest.;;El Skáld errante [From.GetFirstName] ha llegado a tu corte, y recita una historia de un ladrón que robó una piedra preciosa encantada de la horda de un dragón. Las palabras del poeta te mantienen cautivado: escuchando con los ojos cerrados puedes ver las escenas que pinta claramente en tu mente. Una vez que el poema ha terminado y vuelves al mundo físico, él te pregunta cuál es el cuento que te gustaría que hablara de ti.;;;;;;;;;x
EVTOPTA_ROBMODNORSE_20202;Speak of my great power.;Parlez de mon grand pouvoir.;Sprich von meiner großen Macht;;Habla de mi gran poder.;;;;;;;;;x
EVTTOOLTIPA_ROBMODNORSE_20202;[From.GetFirstName] will tell a tale of your prowess as ruler;[From.GetFirstName] raconte un récit de votre prouesse en tant que règle;[From.GetFirstName] erzählt eine Geschichte von deiner Tapferkeit als Herrscher;;[From.GetFirstName] contará una historia de tu destreza como regla;;;;;;;;;x
EVTOPTB_ROBMODNORSE_20202;Speak of my great statesmanship and alliances.;Parlez de mon excellent état-major.;Sprich von meiner großen Staatskunst.;;Habla de mi gran estadía.;;;;;;;;;x
EVTTOOLTIPB_ROBMODNORSE_20202;[From.GetFirstName] will speak of your diplomatic ability;[From.GetFirstName] Parler de votre capacité diplomatique;[From.GetFirstName] Wird von deiner diplomatischen Fähigkeit sprechen;;[From.GetFirstName] Hablará de su capacidad diplomática;;;;;;;;;x
EVTOPTC_ROBMODNORSE_20202;A rousing war drama.;Un drame de guerre enthousiaste.;Ein aufregendes Kriegsdrama.;;Un drama de guerra emocionante.;;;;;;;;;x
EVTTOOLTIPC_ROBMODNORSE_20202;[From.GetFirstName] will speak of your martial ability;[From.GetFirstName] Parleront de votre capacité martiale;[From.GetFirstName] Wird von deiner kriegerischen Fähigkeit sprechen;;[From.GetFirstName] Hablará de tu habilidad marcial;;;;;;;;;x
EVTOPTD_ROBMODNORSE_20202;Emphasise my wisdom and beneficence.;Soulignez ma sagesse et bienfaisance.;Betonen Sie meine Weisheit und Wohltätigkeit.;;Enfatiza mi sabiduría y beneficencia.;;;;;;;;;x
EVTTOOLTIPD_ROBMODNORSE_20202;[From.GetFirstName] will speak of your stewardship ability;[From.GetFirstName] Parleront de votre capacité d'intendance;[From.GetFirstName] Wird von deiner Führungsfähigkeit sprechen;;[From.GetFirstName] Hablará de su capacidad de mayordomía;;;;;;;;;x
EVTOPTF_ROBMODNORSE_20202;A shadowy mystery of court complots and machinations.;Un mystère sombre des machinations judiciaires.;Ein schattiges Geheimnis der Hofmachen;;Un sombrío misterio de las maquinaciones de la corte.;;;;;;;;;x
EVTTOOLTIPF_ROBMODNORSE_20202;[From.GetFirstName] will speak of your intrigue ability;[From.GetFirstName] Parleront de votre capacité d'intrigue;[From.GetFirstName] Wird von deiner Intrigenfähigkeit sprechen;;[From.GetFirstName] Hablará de tu capacidad de intriga;;;;;;;;;x
EVTOPTG_ROBMODNORSE_20202;My eminent knowledge and learnedness.;Mes connaissances éminentes.;Mein hervorragendes Wissen und Lernen.;;Mi eminente conocimiento y erudición.;;;;;;;;;x
EVTTOOLTIPG_ROBMODNORSE_20202;[From.GetFirstName] will speak of your learning ability;[From.GetFirstName] Parleront de votre capacité d'apprentissage;[From.GetFirstName] Wird von deiner Lernfähigkeit sprechen;;[From.GetFirstName] Hablará de su capacidad de aprendizaje;;;;;;;;;x
EVTOPTE_ROBMODNORSE_20202;What other options are available?;Quelles autres options sont disponibles?;Welche anderen Optionen gibt es?;;¿Que otras opciones estan disponibles?;;;;;;;;;x
EVTTOOLTIPE_ROBMODNORSE_20202;You can return to these options if you don’t see anything you like;Vous pouvez revenir à ces options si vous ne voyez rien de ce que vous aimez;Sie können zu diesen Optionen zurückkehren, wenn Sie nichts sehen, was Ihnen gefällt;;Puede volver a estas opciones si no ve nada que le guste;;;;;;;;;x
EVTOPTH_ROBMODNORSE_20202;Back to the other options please.;Revenez aux autres options s'il vous plaît.;Zurück zu den anderen Optionen bitte.;;Volver a las otras opciones por favor.;;;;;;;;;x
EVTTITLE_ROBMODNORSE_20203;The Ballad of [Root.GetFirstName];La balade de [Root.GetFirstName];Die Ballade von [Root.GetFirstName];;La balada de [Root.GetFirstName];;;;;;;;;x
EVTDESC_ROBMODNORSE_20203_GEN;\n\nBorn of [Root.Father.GetFirstName] of the House [Root.Father.GetOnlyDynastyName],\nfrom a noble seed springs a sapling strong,\nbut more gracious still,\nare the flowers that bloom,\nwhen from noble birth,\ngrows a noble mind.\n\nSo begins inn-[Root.GetFirstName]smál, and as [FromFrom.GetFirstNameWithNick] recites the many verses to your court, your heart is stirred beyond reckoning. The poet has a great power indeed: however much of the ballad is true and however much fabrication matters not, when you open your eyes the gathering looks to you with adoration.;Né de [Root.Father.GetFirstName] de la maison [Root.Father.GetOnlyDynastyName],\nà partir d'une graine noble, émet une forte sapling,\n\nSo commence inn-[Root.GetFirstName]smál, et comme [FromFrom.GetFirstNameWithNick] récite les nombreux versets à votre cour, votre cœur est agité au-delà du compte rendu. Le poète a une grande puissance: la majeure partie de la ballade est vraie et il est important que la fabrication ne fasse pas grand chose, lorsque vous ouvrez les yeux, le rassemblement vous regarde avec adoration.;Geboren von [Root.Father.GetFirstName] des Hauses [Root.Father.GetOnlyDynastyName],\nvon einem edlen Samen entspringt ein Bäumchen stark,\n\nSo beginnt Inn-[Root.GetFirstName]smál, und als [FromFrom.GetFirstNameWithNick] rezitiert Die vielen Verse zu deinem Hof, dein Herz ist über die Abrechnung gerührt. Der Dichter hat eine große Macht in der Tat: aber viel von der Ballade ist wahr und aber viel Fertigung zählt nicht, wenn du deine Augen öffnest, sammelt die Versammlung dir mit Anbetung.;;Nacido de [Root.Father.GetFirstName] de la Casa [Root.Father.GetOnlyDynastyName],\nde una semilla noble emana un árbol fuerte,\n\nComienza inn-[Root.GetFirstName]smál y como [FromFrom.GetFirstNameWithNick] recita los muchos versos a tu corte, tu corazón se mueve más allá de la cuenta. El poeta tiene un gran poder: sin embargo, gran parte de la balada es verdadera y, sin importar cuánto importe a la fabricación, al abrir los ojos la reunión te mira con adoración.;;;;;;;;;x
